"","rev_vs_exp","Category_1","Category_2","Category_3","Fiscalyear","value","value_16"
"295","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2005,31019476,38120283.54
"296","Cash Disbursements","Local Assistance","Community Colleges","Total",2005,3342326,4107432.85
"297","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2005,NA,NA
"298","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2005,1081064,1328535.21
"299","Cash Disbursements","Local Assistance","Other Education","Total",2005,2709883,3330214.49
"300","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2005,NA,NA
"301","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2005,293729,360967.82
"302","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2005,222127,272975.09
"303","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2005,12148396,14929339.88
"304","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2005,598510,735517.61
"305","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2005,1697585,2086186.81
"306","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2005,649150,797749.84
"307","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2005,4741450,5826836.61
"308","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2005,2913578,3580538.22
"309","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2005,1237135,1520333.13
"310","Cash Disbursements","Local Assistance","Tax Relief","Total",2005,662584,814259.08
"311","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2005,4084138,5019056.37
"312","Cash Disbursements","Capital Outlay","Total","Total",2005,1450966,1783113.14
"313","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2006,329407,392162.63
"314","Cash Receipts","Revenues","Corporation Tax","Total",2006,10767189,12818456
"315","Cash Receipts","Revenues","Cigarette Tax","Total",2006,111369,132586.01
"316","Cash Receipts","Revenues","Horse Racing Fees","Total",2006,NA,NA
"317","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2006,26686,31769.97
"318","Cash Receipts","Revenues","Insurance Companies Tax","Total",2006,2175294,2589711.25
"319","Cash Receipts","Revenues","Personal Income Tax","Total",2006,52353056,62326884.48
"320","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2006,27515361,32757337.54
"321","Cash Receipts","Revenues","Vehicle License Fees","Total",2006,NA,NA
"322","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2006,574924,684453.3
"323","Cash Receipts","Revenues","Not Otherwise Classified","Total",2006,1811937,2157130.77
"324","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2006,NA,NA
"325","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2006,868037,1033407.52
"326","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2006,NA,NA
"327","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2006,NA,NA
"328","Cash Receipts","Nonrevenues","Miscellaneous","Total",2006,823992,980971.47
"329","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2006,1433925,1707103.36
"330","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2006,606846,722456.79
"331","Cash Disbursements","State Operations","Transportation","Total",2006,5993,7134.73
"332","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2006,NA,NA
"333","Cash Disbursements","State Operations","Resources","Total",2006,1156321,1376612.77
"334","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2006,64694,77018.91
"335","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2006,194605,231679.38
"336","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2006,864501,1029197.87
"337","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2006,733560,873311.19
"338","Cash Disbursements","State Operations","Education","University of California",2006,3052524,3634063.13
"339","Cash Disbursements","State Operations","Education","State Universities and Colleges",2006,3126177,3721747.83
"340","Cash Disbursements","State Operations","Education","Other Education",2006,165043,196485.49
"341","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2006,8564486,10196114.04
"342","Cash Disbursements","State Operations","Governmental Operations","Total",2006,NA,NA
"343","Cash Disbursements","State Operations","General Government","Total",2006,1905851,2268936.41
"344","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2006,3673,4372.75
"345","Cash Disbursements","State Operations","Debt Service","Total",2006,3274615,3898464.89
"346","Cash Disbursements","State Operations","Interest on Loans","Total",2006,90593,107851.96
"347","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2006,36509412,43464853.4
"348","Cash Disbursements","Local Assistance","Community Colleges","Total",2006,4259547,5071037.19
"349","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2006,NA,NA
"350","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2006,958573,1141191.62
"351","Cash Disbursements","Local Assistance","Other Education","Total",2006,2871348,3418371.13
"352","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2006,NA,NA
"353","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2006,283562,337583.66
"354","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2006,256096,304885.08
"355","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2006,13218982,15737342.33
"356","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2006,707902,842765.06
"357","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2006,2008953,2391680.47
"358","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2006,758947,903534.69
"359","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2006,5051513,6013881.35
"360","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2006,2466222,2936064.2
"361","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2006,1184326,1409953.03
"362","Cash Disbursements","Local Assistance","Tax Relief","Total",2006,671198,799068.54
"363","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2006,3699294,4404049.88
"364","Cash Disbursements","Capital Outlay","Total","Total",2006,2889634,3440140.81
"365","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2007,326691,378235.05
"366","Cash Receipts","Revenues","Corporation Tax","Total",2007,10124367,11721750.85
"367","Cash Receipts","Revenues","Cigarette Tax","Total",2007,111394,128969.32
"368","Cash Receipts","Revenues","Horse Racing Fees","Total",2007,NA,NA
"369","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2007,14431,16707.87
"370","Cash Receipts","Revenues","Insurance Companies Tax","Total",2007,2195628,2542045.78
"371","Cash Receipts","Revenues","Personal Income Tax","Total",2007,54849291,63503202.05
"372","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2007,26836793,31070999.41
"373","Cash Receipts","Revenues","Vehicle License Fees","Total",2007,NA,NA
"374","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2007,489200,566384.1
"375","Cash Receipts","Revenues","Not Otherwise Classified","Total",2007,1431000,1656777.7
"376","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2007,190174,220178.93
"377","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2007,2696706,3122181.94
"378","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2007,3313000,3835712.45
"379","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2007,NA,NA
"380","Cash Receipts","Nonrevenues","Miscellaneous","Total",2007,837496,969632.91
"381","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2007,1575259,1823797.33
"382","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2007,557654,645638.51
"383","Cash Disbursements","State Operations","Transportation","Total",2007,3595,4162.21
"384","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2007,NA,NA
"385","Cash Disbursements","State Operations","Resources","Total",2007,1311350,1518249.78
"386","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2007,73858,85511.03
"387","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2007,264214,305900.67
"388","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2007,1162768,1346225.08
"389","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2007,726166,840737.69
"390","Cash Disbursements","State Operations","Education","University of California",2007,3278752,3796060.93
"391","Cash Disbursements","State Operations","Education","State Universities and Colleges",2007,2966847,3434944.76
"392","Cash Disbursements","State Operations","Education","Other Education",2007,198678,230024.65
"393","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2007,9177031,10624947.8
"394","Cash Disbursements","State Operations","Governmental Operations","Total",2007,NA,NA
"395","Cash Disbursements","State Operations","General Government","Total",2007,1947320,2254560.69
"396","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2007,-20364,-23576.95
"397","Cash Disbursements","State Operations","Debt Service","Total",2007,3391226,3926280.65
"398","Cash Disbursements","State Operations","Interest on Loans","Total",2007,219870,254560.25
"399","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2007,35595003,41211046.24
"400","Cash Disbursements","Local Assistance","Community Colleges","Total",2007,4180172,4839703.53
"401","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2007,NA,NA
"402","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2007,1622917,1878974.63
"403","Cash Disbursements","Local Assistance","Other Education","Total",2007,4400300,5094562.48
"404","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2007,NA,NA
"405","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2007,312370,361654.54
"406","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2007,265166,307002.88
"407","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2007,13828471,16010274.19
"408","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2007,604465,699835.17
"409","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2007,2150258,2489517.47
"410","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2007,546174,632347.24
"411","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2007,5265901,6096734.69
"412","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2007,2357468,2729420.27
"413","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2007,1517385,1756792.19
"414","Cash Disbursements","Local Assistance","Tax Relief","Total",2007,669130,774702.77
"415","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2007,3382394,3916055.17
"416","Cash Disbursements","Capital Outlay","Total","Total",2007,1274339,1475399.33
"417","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2008,333435,371693.54
"418","Cash Receipts","Revenues","Corporation Tax","Total",2008,12260536,13667317.52
"419","Cash Receipts","Revenues","Cigarette Tax","Total",2008,107415,119739.86
"420","Cash Receipts","Revenues","Horse Racing Fees","Total",2008,NA,NA
"421","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2008,18275,20371.88
"422","Cash Receipts","Revenues","Insurance Companies Tax","Total",2008,2059909,2296264.24
"423","Cash Receipts","Revenues","Personal Income Tax","Total",2008,43701844,48716220.74
"424","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2008,23702413,26422042.6
"425","Cash Receipts","Revenues","Vehicle License Fees","Total",2008,NA,NA
"426","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2008,226399,252376.16
"427","Cash Receipts","Revenues","Not Otherwise Classified","Total",2008,2768928,3086636.52
"428","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2008,837902,934043.4
"429","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2008,1081352,1205427
"430","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2008,NA,NA
"431","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2008,NA,NA
"432","Cash Receipts","Nonrevenues","Miscellaneous","Total",2008,676544,754171.08
"433","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2008,1471734,1640601.67
"434","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2008,537149,598781.81
"435","Cash Disbursements","State Operations","Transportation","Total",2008,4695,5233.71
"436","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2008,NA,NA
"437","Cash Disbursements","State Operations","Resources","Total",2008,1567600,1747467.4
"438","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2008,61400,68445.07
"439","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2008,210754,234936.04
"440","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2008,1204252,1342428.62
"441","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2008,626695,698602.37
"442","Cash Disbursements","State Operations","Education","University of California",2008,3206579,3574503.87
"443","Cash Disbursements","State Operations","Education","State Universities and Colleges",2008,2875470,3205403.21
"444","Cash Disbursements","State Operations","Education","Other Education",2008,167672,186910.79
"445","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2008,9016603,10051173.63
"446","Cash Disbursements","State Operations","Governmental Operations","Total",2008,NA,NA
"447","Cash Disbursements","State Operations","General Government","Total",2008,1496416,1668115.7
"448","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2008,19807,22079.67
"449","Cash Disbursements","State Operations","Debt Service","Total",2008,3995754,4454229.3
"450","Cash Disbursements","State Operations","Interest on Loans","Total",2008,205634,229228.57
"451","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2008,31186076,34764385.74
"452","Cash Disbursements","Local Assistance","Community Colleges","Total",2008,4068798,4535654.41
"453","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2008,NA,NA
"454","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2008,1133088,1263099.22
"455","Cash Disbursements","Local Assistance","Other Education","Total",2008,3623193,4038920.42
"456","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2008,NA,NA
"457","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2008,276343,308050.77
"458","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2008,254842,284082.73
"459","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2008,12645121,14096030.04
"460","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2008,384433,428543.08
"461","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2008,2338766,2607117.46
"462","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2008,840415,936844.74
"463","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2008,5025255,5601855.88
"464","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2008,2849760,3176743.23
"465","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2008,1503172,1675646.89
"466","Cash Disbursements","Local Assistance","Tax Relief","Total",2008,482071,537384.13
"467","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2008,3214001,3582777.47
"468","Cash Disbursements","Capital Outlay","Total","Total",2008,1202612,1340600.45
"469","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2009,323583,361999.03
"470","Cash Receipts","Revenues","Corporation Tax","Total",2009,9446013,10567451.03
"471","Cash Receipts","Revenues","Cigarette Tax","Total",2009,96213,107635.48
"472","Cash Receipts","Revenues","Horse Racing Fees","Total",2009,NA,NA
"473","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2009,7008,7840
"474","Cash Receipts","Revenues","Insurance Companies Tax","Total",2009,2015489,2254769.43
"475","Cash Receipts","Revenues","Personal Income Tax","Total",2009,44629412,49927850.61
"476","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2009,26659015,29823994.06
"477","Cash Receipts","Revenues","Vehicle License Fees","Total",2009,1370059,1532713.47
"478","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2009,26025,29114.71
"479","Cash Receipts","Revenues","Not Otherwise Classified","Total",2009,2016730,2256157.76
"480","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2009,1103675,1234704.16
"481","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2009,301034,336772.99
"482","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2009,NA,NA
"483","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2009,NA,NA
"484","Cash Receipts","Nonrevenues","Miscellaneous","Total",2009,660685,739122.04
"485","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2009,1467820,1642080.74
"486","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2009,489950,548117.25
"487","Cash Disbursements","State Operations","Transportation","Total",2009,417389,466941.75
"488","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2009,NA,NA
"489","Cash Disbursements","State Operations","Resources","Total",2009,1115364,1247780.88
"490","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2009,52162,58354.71
"491","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2009,209271,234115.82
"492","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2009,1082781,1211329.6
"493","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2009,511050,571722.25
"494","Cash Disbursements","State Operations","Education","University of California",2009,1801720,2015621.6
"495","Cash Disbursements","State Operations","Education","State Universities and Colleges",2009,1630282,1823830.35
"496","Cash Disbursements","State Operations","Education","Other Education",2009,160544,179603.91
"497","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2009,8111662,9074684.84
"498","Cash Disbursements","State Operations","Governmental Operations","Total",2009,NA,NA
"499","Cash Disbursements","State Operations","General Government","Total",2009,1516442,1696475.18
"500","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2009,15886,17772
"501","Cash Disbursements","State Operations","Debt Service","Total",2009,4703924,5262377.53
"502","Cash Disbursements","State Operations","Interest on Loans","Total",2009,254988,285260.37
"503","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2009,29151614,32612516.36
"504","Cash Disbursements","Local Assistance","Community Colleges","Total",2009,3757261,4203325.96
"505","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2009,NA,NA
"506","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2009,1248045,1396213.88
"507","Cash Disbursements","Local Assistance","Other Education","Total",2009,3351573,3749474.36
"508","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2009,NA,NA
"509","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2009,203469,227625
"510","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2009,203151,227269.25
"511","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2009,10236433,11451710.31
"512","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2009,279796,313013.6
"513","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2009,1895351,2120368.55
"514","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2009,677190,757586.53
"515","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2009,4248830,4753254.41
"516","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2009,2367641,2648729.19
"517","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2009,1420981,1589680.97
"518","Cash Disbursements","Local Assistance","Tax Relief","Total",2009,439725,491929.5
"519","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2009,1102389,1233265.48
"520","Cash Disbursements","Capital Outlay","Total","Total",2009,1860643,2081539.99
"521","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2010,333633,367218.77
"522","Cash Receipts","Revenues","Corporation Tax","Total",2010,9804193,10791149.75
"523","Cash Receipts","Revenues","Cigarette Tax","Total",2010,95691,105323.91
"524","Cash Receipts","Revenues","Horse Racing Fees","Total",2010,NA,NA
"525","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2010,8243,9072.8
"526","Cash Receipts","Revenues","Insurance Companies Tax","Total",2010,2061933,2269501.2
"527","Cash Receipts","Revenues","Personal Income Tax","Total",2010,50401571,55475335.93
"528","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2010,27171866,29907170.83
"529","Cash Receipts","Revenues","Vehicle License Fees","Total",2010,1352875,1489064.6
"530","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2010,38461,42332.75
"531","Cash Receipts","Revenues","Not Otherwise Classified","Total",2010,1964388,2162136.66
"532","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2010,180291,198440.32
"533","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2010,1442803,1588045.36
"534","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2010,NA,NA
"535","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2010,NA,NA
"536","Cash Receipts","Nonrevenues","Miscellaneous","Total",2010,680431,748927.81
"537","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2010,1382862,1522070.29
"538","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2010,538237,592419.6
"539","Cash Disbursements","State Operations","Transportation","Total",2010,412017,453493.43
"540","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2010,NA,NA
"541","Cash Disbursements","State Operations","Resources","Total",2010,925538,1018708.95
"542","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2010,59212,65172.68
"543","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2010,192898,212316.42
"544","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2010,1169480,1287207.81
"545","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2010,590688,650150.67
"546","Cash Disbursements","State Operations","Education","University of California",2010,2912074,3205223.17
"547","Cash Disbursements","State Operations","Education","State Universities and Colleges",2010,2577665,2837150.29
"548","Cash Disbursements","State Operations","Education","Other Education",2010,166748,183533.99
"549","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2010,9161540,10083802.93
"550","Cash Disbursements","State Operations","Governmental Operations","Total",2010,NA,NA
"551","Cash Disbursements","State Operations","General Government","Total",2010,1864586,2052287.91
"552","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2010,-23207,-25543.17
"553","Cash Disbursements","State Operations","Debt Service","Total",2010,4757649,5236586.31
"554","Cash Disbursements","State Operations","Interest on Loans","Total",2010,210494,231683.76
"555","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2010,29796246,32795738.77
"556","Cash Disbursements","Local Assistance","Community Colleges","Total",2010,3945758,4342964.84
"557","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2010,NA,NA
"558","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2010,1257341,1383913.5
"559","Cash Disbursements","Local Assistance","Other Education","Total",2010,3125702,3440356.42
"560","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2010,NA,NA
"561","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2010,202475,222857.51
"562","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2010,171177,188408.84
"563","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2010,12300969,13539268.2
"564","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2010,247991,272955.46
"565","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2010,2503708,2755748.28
"566","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2010,470221,517556.64
"567","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2010,4603353,5066757.82
"568","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2010,2674751,2944009.63
"569","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2010,1528406,1682265.74
"570","Cash Disbursements","Local Assistance","Tax Relief","Total",2010,438083,482183.41
"571","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2010,2167035,2385183.48
"572","Cash Disbursements","Capital Outlay","Total","Total",2010,42813,47122.85
"573","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2011,338178,360831.55
"574","Cash Receipts","Revenues","Corporation Tax","Total",2011,8051423,8590764.07
"575","Cash Receipts","Revenues","Cigarette Tax","Total",2011,100906,107665.4
"576","Cash Receipts","Revenues","Horse Racing Fees","Total",2011,NA,NA
"577","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2011,3991,4258.35
"578","Cash Receipts","Revenues","Insurance Companies Tax","Total",2011,2187463,2333994.69
"579","Cash Receipts","Revenues","Personal Income Tax","Total",2011,50699002,54095178.57
"580","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2011,19438408,20740529.61
"581","Cash Receipts","Revenues","Vehicle License Fees","Total",2011,83406,88993.12
"582","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2011,25605,27320.2
"583","Cash Receipts","Revenues","Not Otherwise Classified","Total",2011,2545502,2716017.67
"584","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2011,715854,763806.95
"585","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2011,2348551,2505873.5
"586","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2011,NA,NA
"587","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2011,NA,NA
"588","Cash Receipts","Nonrevenues","Miscellaneous","Total",2011,1231498,1313992.42
"589","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2011,1253131,1337074.55
