"","rev_vs_exp","Category_1","Category_2","Category_3","Fiscalyear","value","value_16"
"590","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2011,590961,630547.73
"591","Cash Disbursements","State Operations","Transportation","Total",2011,26876,28676.34
"592","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2011,NA,NA
"593","Cash Disbursements","State Operations","Resources","Total",2011,929868,992157.11
"594","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2011,35694,38085.04
"595","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2011,222734,237654.29
"596","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2011,1232235,1314778.79
"597","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2011,967807,1032637.54
"598","Cash Disbursements","State Operations","Education","University of California",2011,2277772,2430353.23
"599","Cash Disbursements","State Operations","Education","State Universities and Colleges",2011,1999976,2133948.49
"600","Cash Disbursements","State Operations","Education","Other Education",2011,164030,175017.89
"601","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2011,7991944,8527300.75
"602","Cash Disbursements","State Operations","Governmental Operations","Total",2011,NA,NA
"603","Cash Disbursements","State Operations","General Government","Total",2011,1914058,2042275.1
"604","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2011,-6331,-6755.1
"605","Cash Disbursements","State Operations","Debt Service","Total",2011,4744822,5062663.63
"606","Cash Disbursements","State Operations","Interest on Loans","Total",2011,85767,91512.28
"607","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2011,29269540,31230220.13
"608","Cash Disbursements","Local Assistance","Community Colleges","Total",2011,3284018,3504004.68
"609","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2011,NA,NA
"610","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2011,1316108,1404270.19
"611","Cash Disbursements","Local Assistance","Other Education","Total",2011,3482653,3715945.65
"612","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2011,NA,NA
"613","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2011,234339,250036.68
"614","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2011,53548,57135.02
"615","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2011,15096282,16107537.39
"616","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2011,24062,25673.84
"617","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2011,2097430,2237930.65
"618","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2011,357495,381442.54
"619","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2011,4497175,4798427.49
"620","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2011,1744646,1861514.69
"621","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2011,827068,882470.85
"622","Cash Disbursements","Local Assistance","Tax Relief","Total",2011,433008,462013.93
"623","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2011,1862287,1987036.11
"624","Cash Disbursements","Capital Outlay","Total","Total",2011,190873,203659.02
"625","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2012,360803,377166.85
"626","Cash Receipts","Revenues","Corporation Tax","Total",2012,7620406,7966021.69
"627","Cash Receipts","Revenues","Cigarette Tax","Total",2012,91172,95307.01
"628","Cash Receipts","Revenues","Horse Racing Fees","Total",2012,NA,NA
"629","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2012,4303,4498.16
"630","Cash Receipts","Revenues","Insurance Companies Tax","Total",2012,2244313,2346101.51
"631","Cash Receipts","Revenues","Personal Income Tax","Total",2012,67314600,70367584.53
"632","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2012,20073343,20983748.85
"633","Cash Receipts","Revenues","Vehicle License Fees","Total",2012,7493,7832.84
"634","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2012,23426,24488.46
"635","Cash Receipts","Revenues","Not Otherwise Classified","Total",2012,2338513,2444573.85
"636","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2012,NA,NA
"637","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2012,2051308,2144342.97
"638","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2012,NA,NA
"639","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2012,NA,NA
"640","Cash Receipts","Nonrevenues","Miscellaneous","Total",2012,1294994,1353727.12
"641","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2012,1000838,1046229.98
"642","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2012,663371,693457.51
"643","Cash Disbursements","State Operations","Transportation","Total",2012,3978,4158.42
"644","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2012,NA,NA
"645","Cash Disbursements","State Operations","Resources","Total",2012,1143350,1195205.46
"646","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2012,34023,35566.08
"647","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2012,217429,227290.27
"648","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2012,1161511,1214190.14
"649","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2012,469474,490766.51
"650","Cash Disbursements","State Operations","Education","University of California",2012,2386114,2494333.75
"651","Cash Disbursements","State Operations","Education","State Universities and Colleges",2012,2244988,2346807.12
"652","Cash Disbursements","State Operations","Education","Other Education",2012,169881,177585.78
"653","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2012,7788842,8142096.93
"654","Cash Disbursements","State Operations","Governmental Operations","Total",2012,NA,NA
"655","Cash Disbursements","State Operations","General Government","Total",2012,4270890,4464591.83
"656","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2012,-6616,-6916.06
"657","Cash Disbursements","State Operations","Debt Service","Total",2012,4482775,4686086.65
"658","Cash Disbursements","State Operations","Interest on Loans","Total",2012,99862,104391.14
"659","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2012,36476720,38131084.16
"660","Cash Disbursements","Local Assistance","Community Colleges","Total",2012,3584580,3747154.94
"661","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2012,NA,NA
"662","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2012,1359675,1421341.66
"663","Cash Disbursements","Local Assistance","Other Education","Total",2012,1813620,1895874.87
"664","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2012,NA,NA
"665","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2012,223654,233797.6
"666","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2012,42770,44709.79
"667","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2012,14391478,15044188.7
"668","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2012,108352,113266.19
"669","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2012,2037886,2130312.23
"670","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2012,10664,11147.65
"671","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2012,4453798,4655795.43
"672","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2012,1348177,1409322.18
"673","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2012,682154,713092.39
"674","Cash Disbursements","Local Assistance","Tax Relief","Total",2012,427285,446664.07
"675","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2012,1134295,1185739.78
"676","Cash Disbursements","Capital Outlay","Total","Total",2012,117388,122712.01
"677","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2013,329457,339427.39
"678","Cash Receipts","Revenues","Corporation Tax","Total",2013,8511645,8769233.73
"679","Cash Receipts","Revenues","Cigarette Tax","Total",2013,80152,82577.65
"680","Cash Receipts","Revenues","Horse Racing Fees","Total",2013,NA,NA
"681","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2013,8828,9095.16
"682","Cash Receipts","Revenues","Insurance Companies Tax","Total",2013,2365974,2437575.7
"683","Cash Receipts","Revenues","Personal Income Tax","Total",2013,66194590,68197843.22
"684","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2013,22158717,22829308.37
"685","Cash Receipts","Revenues","Vehicle License Fees","Total",2013,1951,2010.04
"686","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2013,21351,21997.15
"687","Cash Receipts","Revenues","Not Otherwise Classified","Total",2013,1899864,1957359.77
"688","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2013,NA,NA
"689","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2013,1197097,1233324.86
"690","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2013,NA,NA
"691","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2013,NA,NA
"692","Cash Receipts","Nonrevenues","Miscellaneous","Total",2013,1196571,1232782.94
"693","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2013,1478905,1523661.24
"694","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2013,10667,10989.82
"695","Cash Disbursements","State Operations","Transportation","Total",2013,593,610.95
"696","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2013,NA,NA
"697","Cash Disbursements","State Operations","Resources","Total",2013,1084230,1117042.16
"698","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2013,40943,42182.06
"699","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2013,235749,242883.49
"700","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2013,1375451,1417076.41
"701","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2013,517745,533413.57
"702","Cash Disbursements","State Operations","Education","University of California",2013,2852368,2938689.49
"703","Cash Disbursements","State Operations","Education","State Universities and Colleges",2013,2551907,2629135.61
"704","Cash Disbursements","State Operations","Education","Other Education",2013,186421,192062.68
"705","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2013,8785327,9051198.19
"706","Cash Disbursements","State Operations","Governmental Operations","Total",2013,679501,700064.8
"707","Cash Disbursements","State Operations","General Government","Total",2013,2136658,2201319.89
"708","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2013,-57274,-59007.29
"709","Cash Disbursements","State Operations","Debt Service","Total",2013,4505852,4642213.03
"710","Cash Disbursements","State Operations","Interest on Loans","Total",2013,63266,65180.63
"711","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2013,36842575,37957545.38
"712","Cash Disbursements","Local Assistance","Community Colleges","Total",2013,4001929,4123039.76
"713","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2013,NA,NA
"714","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2013,1359827,1400979.57
"715","Cash Disbursements","Local Assistance","Other Education","Total",2013,1744406,1797197.13
"716","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2013,NA,NA
"717","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2013,168313,173406.67
"718","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2013,-254,-261.69
"719","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2013,16995452,17509786.99
"720","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2013,104234,107388.44
"721","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2013,2653769,2734080.27
"722","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2013,NA,NA
"723","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2013,4615418,4755094.84
"724","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2013,1481494,1526328.59
"725","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2013,766416,789610.12
"726","Cash Disbursements","Local Assistance","Tax Relief","Total",2013,421734,434496.98
"727","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2013,1618298,1667272.71
"728","Cash Disbursements","Capital Outlay","Total","Total",2013,154544,159220.98
"729","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2014,386125,391460.12
"730","Cash Receipts","Revenues","Corporation Tax","Total",2014,10254954,10396647.51
"731","Cash Receipts","Revenues","Cigarette Tax","Total",2014,92281,93556.05
"732","Cash Receipts","Revenues","Horse Racing Fees","Total",2014,NA,NA
"733","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2014,3466,3513.89
"734","Cash Receipts","Revenues","Insurance Companies Tax","Total",2014,2450009,2483860.97
"735","Cash Receipts","Revenues","Personal Income Tax","Total",2014,76268212,77322015.91
"736","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2014,23241632,23562763.46
"737","Cash Receipts","Revenues","Vehicle License Fees","Total",2014,157,159.17
"738","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2014,18374,18627.88
"739","Cash Receipts","Revenues","Not Otherwise Classified","Total",2014,1562567,1584157.11
"740","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2014,621400,629985.93
"741","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2014,415465,421205.51
"742","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2014,NA,NA
"743","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2014,NA,NA
"744","Cash Receipts","Nonrevenues","Miscellaneous","Total",2014,1070938,1085735.23
"745","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2014,1422382,1442035.16
"746","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2014,18867,19127.69
"747","Cash Disbursements","State Operations","Transportation","Total",2014,49,49.68
"748","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2014,NA,NA
"749","Cash Disbursements","State Operations","Resources","Total",2014,1245744,1262956.54
"750","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2014,47895,48556.77
"751","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2014,243006,246363.63
"752","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2014,1530646,1551795.06
"753","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2014,544522,552045.7
"754","Cash Disbursements","State Operations","Education","University of California",2014,2990656,3031978.13
"755","Cash Disbursements","State Operations","Education","State Universities and Colleges",2014,2998093,3039517.89
"756","Cash Disbursements","State Operations","Education","Other Education",2014,193214,195883.65
"757","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2014,9654294,9787688.14
"758","Cash Disbursements","State Operations","Governmental Operations","Total",2014,757198,767660.26
"759","Cash Disbursements","State Operations","General Government","Total",2014,3979119,4034098.8
"760","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2014,-102743,-104162.61
"761","Cash Disbursements","State Operations","Debt Service","Total",2014,4946112,5014452.82
"762","Cash Disbursements","State Operations","Interest on Loans","Total",2014,36811,37319.62
"763","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2014,44235987,44847199.12
"764","Cash Disbursements","Local Assistance","Community Colleges","Total",2014,4862623,4929810.25
"765","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2014,NA,NA
"766","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2014,1486004,1506536.23
"767","Cash Disbursements","Local Assistance","Other Education","Total",2014,2489056,2523447.48
"768","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2014,NA,NA
"769","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2014,215106,218078.14
"770","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2014,210,212.9
"771","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2014,17064401,17300181.18
"772","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2014,213566,216516.86
"773","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2014,2862614,2902166.96
"774","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2014,NA,NA
"775","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2014,4802967,4869329.97
"776","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2014,318900,323306.27
"777","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2014,735344,745504.31
"778","Cash Disbursements","Local Assistance","Tax Relief","Total",2014,416755,422513.34
"779","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2014,2514340,2549080.83
"780","Cash Disbursements","Capital Outlay","Total","Total",2014,164063,166329.87
"781","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2015,366046,370663.72
"782","Cash Receipts","Revenues","Corporation Tax","Total",2015,9690219,9812462.36
"783","Cash Receipts","Revenues","Cigarette Tax","Total",2015,84787,85856.6
"784","Cash Receipts","Revenues","Horse Racing Fees","Total",2015,NA,NA
"785","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2015,2369,2398.89
"786","Cash Receipts","Revenues","Insurance Companies Tax","Total",2015,2567453,2599841.75
"787","Cash Receipts","Revenues","Personal Income Tax","Total",2015,79437856,80439974.79
"788","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2015,24788981,25101697.19
"789","Cash Receipts","Revenues","Vehicle License Fees","Total",2015,24,24.3
"790","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2015,34370,34803.58
"791","Cash Receipts","Revenues","Not Otherwise Classified","Total",2015,1787102,1809646.52
"792","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2015,138000,139740.89
"793","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2015,438053,443579.1
"794","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2015,NA,NA
"795","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2015,NA,NA
"796","Cash Receipts","Nonrevenues","Miscellaneous","Total",2015,1082129,1095780.2
"797","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2015,1395302,1412903.91
"798","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2015,21766,22040.58
"799","Cash Disbursements","State Operations","Transportation","Total",2015,7,7.09
"800","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2015,NA,NA
"801","Cash Disbursements","State Operations","Resources","Total",2015,1799620,1822322.44
"802","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2015,49831,50459.62
"803","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2015,257733,260984.34
"804","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2015,1588381,1608418.63
"805","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2015,589121,596552.84
"806","Cash Disbursements","State Operations","Education","University of California",2015,3258870,3299981.07
"807","Cash Disbursements","State Operations","Education","State Universities and Colleges",2015,3011334,3049322.37
"808","Cash Disbursements","State Operations","Education","Other Education",2015,209832,212479.06
"809","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2015,9870976,9995499.63
"810","Cash Disbursements","State Operations","Governmental Operations","Total",2015,761128,770729.73
"811","Cash Disbursements","State Operations","General Government","Total",2015,2642317,2675650.17
"812","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2015,-35624,-36073.4
"813","Cash Disbursements","State Operations","Debt Service","Total",2015,4977333,5040122.7
"814","Cash Disbursements","State Operations","Interest on Loans","Total",2015,70403,71291.14
"815","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2015,46919883,47511783.37
"816","Cash Disbursements","Local Assistance","Community Colleges","Total",2015,5798568,5871717.68
"817","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2015,NA,NA
"818","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2015,1935287,1959700.89
"819","Cash Disbursements","Local Assistance","Other Education","Total",2015,2667261,2700908.84
"820","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2015,NA,NA
"821","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2015,200516,203045.54
"822","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2015,NA,NA
"823","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2015,17764600,17988702.72
"824","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2015,230103,233005.78
"825","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2015,3163097,3202999.88
"826","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2015,NA,NA
"827","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2015,5806217,5879463.18
"828","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2015,916979,928546.81
"829","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2015,794459,804481.2
"830","Cash Disbursements","Local Assistance","Tax Relief","Total",2015,413953,419175.07
"831","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2015,2309239,2338370.35
"832","Cash Disbursements","Capital Outlay","Total","Total",2015,146543,148391.66
"833","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2016,370714,370714
"834","Cash Receipts","Revenues","Corporation Tax","Total",2016,10112520,10112520
"835","Cash Receipts","Revenues","Cigarette Tax","Total",2016,77837,77837
"836","Cash Receipts","Revenues","Horse Racing Fees","Total",2016,NA,NA
"837","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2016,1360,1360
"838","Cash Receipts","Revenues","Insurance Companies Tax","Total",2016,2428192,2428192
"839","Cash Receipts","Revenues","Personal Income Tax","Total",2016,82717968,82717968
"840","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2016,24712418,24712418
"841","Cash Receipts","Revenues","Vehicle License Fees","Total",2016,11,11
"842","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2016,68896,68896
"843","Cash Receipts","Revenues","Not Otherwise Classified","Total",2016,1417571,1417571
"844","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2016,NA,NA
"845","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2016,368222,368222
"846","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2016,NA,NA
"847","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2016,NA,NA
"848","Cash Receipts","Nonrevenues","Miscellaneous","Total",2016,332357,332357
"849","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2016,1510165,1510165
"850","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2016,26596,26596
"851","Cash Disbursements","State Operations","Transportation","Total",2016,3891,3891
"852","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2016,NA,NA
"853","Cash Disbursements","State Operations","Resources","Total",2016,1936381,1936381
"854","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2016,86499,86499
"855","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2016,281029,281029
"856","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2016,1737149,1737149
"857","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2016,660167,660167
"858","Cash Disbursements","State Operations","Education","University of California",2016,3496496,3496496
"859","Cash Disbursements","State Operations","Education","State Universities and Colleges",2016,3270842,3270842
"860","Cash Disbursements","State Operations","Education","Other Education",2016,226831,226831
"861","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2016,10362484,10362484
"862","Cash Disbursements","State Operations","Governmental Operations","Total",2016,786576,786576
"863","Cash Disbursements","State Operations","General Government","Total",2016,2398061,2398061
"864","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2016,-68443,-68443
"865","Cash Disbursements","State Operations","Debt Service","Total",2016,4929778,4929778
"866","Cash Disbursements","State Operations","Interest on Loans","Total",2016,45831,45831
"867","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2016,46633480,46633480
"868","Cash Disbursements","Local Assistance","Community Colleges","Total",2016,5497258,5497258
"869","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2016,NA,NA
"870","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2016,2472993,2472993
"871","Cash Disbursements","Local Assistance","Other Education","Total",2016,1877850,1877850
"872","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2016,NA,NA
"873","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2016,265198,265198
"874","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2016,NA,NA
"875","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2016,18783848,18783848
"876","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2016,478331,478331
"877","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2016,3296929,3296929
"878","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2016,NA,NA
"879","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2016,5963886,5963886
"880","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2016,1022924,1022924
"881","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2016,892991,892991
"882","Cash Disbursements","Local Assistance","Tax Relief","Total",2016,411030,411030
"883","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2016,2267817,2267817
"884","Cash Disbursements","Capital Outlay","Total","Total",2016,1118668,1118668
