"","fit4.coefficients"
"(Intercept)",-1115.40754086409
"state_rev_PP_16_pred",-2.37606429201787
"Fiscalyear2003",-1241.97781537159
"Fiscalyear2004",-349.112113837299
"Fiscalyear2005",879.690357220144
"Fiscalyear2006",2477.54913061458
"Fiscalyear2007",2492.58061739434
"Fiscalyear2008",1634.13487837891
"Fiscalyear2009",-304.153594080314
"Fiscalyear2010",585.048808378512
"Fiscalyear2011",-773.387257137969
"Fiscalyear2012",-659.603215124074
"Fiscalyear2014",1952.38031657774
"Fiscalyear2015",4341.20432684775
"Fiscalyear2016",4912.08137176479
"factor(Dcode)61127",36034.4416012515
"factor(Dcode)61143",33529.0562636947
"factor(Dcode)61150",36543.0721113184
"factor(Dcode)61168",29668.514858154
"factor(Dcode)61176",28845.0303796814
"factor(Dcode)61192",29567.380411309
"factor(Dcode)61200",26305.1711838897
"factor(Dcode)61218",43068.1467822524
"factor(Dcode)61234",27725.1747676022
"factor(Dcode)61242",26705.5646292039
"factor(Dcode)61259",35177.1651611364
"factor(Dcode)61275",25281.5714150664
"factor(Dcode)61291",26990.899398545
"factor(Dcode)61309",27197.6874500535
"factor(Dcode)61333",80570.2166766708
"factor(Dcode)61382",31503.3311993353
"factor(Dcode)61408",35283.7940571912
"factor(Dcode)61424",27992.0905905324
"factor(Dcode)61432",28870.1022942244
"factor(Dcode)61440",59306.48258244
"factor(Dcode)61457",49313.0839413236
"factor(Dcode)61499",26670.8205637746
"factor(Dcode)61507",27240.0193933135
"factor(Dcode)61515",32430.9851861137
"factor(Dcode)61523",29582.830827786
"factor(Dcode)61531",29067.7617522182
"factor(Dcode)61549",30057.2543062841
"factor(Dcode)61556",43876.4118854108
"factor(Dcode)61564",27766.4384149053
"factor(Dcode)61572",25354.9932487085
"factor(Dcode)61580",32501.4108999029
"factor(Dcode)61598",28314.5030451355
"factor(Dcode)61606",33702.0671953619
"factor(Dcode)61614",29631.1281068483
"factor(Dcode)61622",28021.0707824374
"factor(Dcode)61630",40485.3841769986
"factor(Dcode)61648",26046.1174702749
"factor(Dcode)61655",23869.6224439713
"factor(Dcode)61663",25539.1982104489
"factor(Dcode)61671",29399.6170315272
"factor(Dcode)61697",28242.5316918373
"factor(Dcode)61705",27618.6434389853
"factor(Dcode)61713",23690.9774325172
"factor(Dcode)61721",26925.2024470532
"factor(Dcode)61739",26363.4015293606
"factor(Dcode)61747",23707.6044988342
"factor(Dcode)61754",29069.7517972206
"factor(Dcode)61762",24208.6059134311
"factor(Dcode)61770",23439.6239316827
"factor(Dcode)61788",28012.2270310933
"factor(Dcode)61796",30951.3520404299
"factor(Dcode)61804",25396.6633385291
"factor(Dcode)61812",23584.9385543468
"factor(Dcode)61820",28930.3724147886
"factor(Dcode)61838",25391.8320480882
"factor(Dcode)61846",27795.7619645937
"factor(Dcode)61853",28892.1380239573
"factor(Dcode)61879",26705.550112209
"factor(Dcode)61887",25852.1139795226
"factor(Dcode)61895",38936.1313337268
"factor(Dcode)61903",30222.1304872597
"factor(Dcode)61911",32452.8381142942
"factor(Dcode)61929",26151.2741974868
"factor(Dcode)61945",29612.6391669126
"factor(Dcode)61952",26482.9798571252
"factor(Dcode)61960",27502.6175078654
"factor(Dcode)61978",23848.2131490661
"factor(Dcode)61986",88533.9804408564
"factor(Dcode)61994",27315.1585143676
"factor(Dcode)62026",78823.1480511434
"factor(Dcode)62042",32589.1235448344
"factor(Dcode)62109",23635.9907677041
"factor(Dcode)62117",27677.6111195667
"factor(Dcode)62125",28102.3916218593
"factor(Dcode)62158",26306.821283172
"factor(Dcode)62166",30324.5878534801
"factor(Dcode)62240",25234.2182972206
"factor(Dcode)62257",27871.3793019222
"factor(Dcode)62265",28744.4214912869
"factor(Dcode)62281",31323.8582020374
"factor(Dcode)62323",26762.4009094469
"factor(Dcode)62331",29175.5441770039
"factor(Dcode)62356",27631.2671825558
"factor(Dcode)62364",29009.0592274795
"factor(Dcode)62372",81354.3008889068
"factor(Dcode)62380",39752.9117104592
"factor(Dcode)62414",31654.2270101495
"factor(Dcode)62430",27026.1596674778
"factor(Dcode)62513",27709.0738063424
"factor(Dcode)62539",64119.1710049272
"factor(Dcode)62547",67093.9345060755
"factor(Dcode)62554",26052.1006352567
"factor(Dcode)62596",26476.0588115468
"factor(Dcode)62638",26184.3947381993
"factor(Dcode)62646",40302.1236641279
"factor(Dcode)62653",63696.0566630421
"factor(Dcode)62661",26911.8000548985
"factor(Dcode)62679",42454.5549205932
"factor(Dcode)62687",31865.8035157468
"factor(Dcode)62695",109279.738048578
"factor(Dcode)62703",31362.0778364173
"factor(Dcode)62729",48307.8612384063
"factor(Dcode)62737",32498.7065481732
"factor(Dcode)62745",25058.2023790693
"factor(Dcode)62794",26705.2710825606
"factor(Dcode)62810",29140.3851667058
"factor(Dcode)62828",27572.1655431741
"factor(Dcode)62836",31592.948185713
"factor(Dcode)62851",71311.1470189989
"factor(Dcode)62885",25788.342915325
"factor(Dcode)62893",24291.1714627338
"factor(Dcode)62901",35945.2668056681
"factor(Dcode)62919",42870.2346966463
"factor(Dcode)62927",71443.2652885919
"factor(Dcode)62935",68849.1255808033
"factor(Dcode)62950",25224.460853964
"factor(Dcode)62968",70393.0947357803
"factor(Dcode)62976",26478.4198929119
"factor(Dcode)62984",45155.3468380434
"factor(Dcode)63008",27621.0498405227
"factor(Dcode)63024",26583.5967120889
"factor(Dcode)63032",40577.7529920393
"factor(Dcode)63040",36881.3373305333
"factor(Dcode)63057",29428.2982941295
"factor(Dcode)63073",25764.4525053106
"factor(Dcode)63081",30211.5606074122
"factor(Dcode)63099",27631.2611937693
"factor(Dcode)63107",29958.3788282234
"factor(Dcode)63115",28587.0250954459
"factor(Dcode)63123",26156.3829940906
"factor(Dcode)63131",27696.2757376217
"factor(Dcode)63149",27777.4124620147
"factor(Dcode)63164",25228.0637020685
"factor(Dcode)63172",26648.7049958564
"factor(Dcode)63180",23982.609147872
"factor(Dcode)63198",28111.5073821902
"factor(Dcode)63206",32167.8850465732
"factor(Dcode)63214",36976.5684674266
"factor(Dcode)63222",28713.5023514458
"factor(Dcode)63230",29708.4287103441
"factor(Dcode)63248",50110.2089262375
"factor(Dcode)63271",92742.7906344545
"factor(Dcode)63289",62259.6084663877
"factor(Dcode)63297",92495.659864873
"factor(Dcode)63305",32151.8843707329
"factor(Dcode)63313",28788.2853595629
"factor(Dcode)63321",30252.4805327336
"factor(Dcode)63339",27790.3447765272
"factor(Dcode)63347",135324.575198099
"factor(Dcode)63354",65181.2072556059
"factor(Dcode)63362",28516.0698746528
"factor(Dcode)63370",30529.6148032128
"factor(Dcode)63388",38909.5981237097
"factor(Dcode)63404",32957.5788972042
"factor(Dcode)63412",32996.566536157
"factor(Dcode)63420",29879.5406399464
"factor(Dcode)63438",28208.0626284122
"factor(Dcode)63446",44753.8837339808
"factor(Dcode)63461",27432.795267968
"factor(Dcode)63479",25768.0689086584
"factor(Dcode)63487",36026.0050837056
"factor(Dcode)63503",27790.3131113942
"factor(Dcode)63529",32794.8566285071
"factor(Dcode)63545",30782.4976500292
"factor(Dcode)63552",28854.5134516868
"factor(Dcode)63560",29528.8963645382
"factor(Dcode)63578",29030.3109005277
"factor(Dcode)63586",53700.1437201855
"factor(Dcode)63594",31045.7137921876
"factor(Dcode)63610",24347.5460859355
"factor(Dcode)63628",42038.6500225238
"factor(Dcode)63651",97428.2126547955
"factor(Dcode)63669",99181.4205695293
"factor(Dcode)63677",28879.5565100849
"factor(Dcode)63685",28444.8748663668
"factor(Dcode)63693",24695.6808403998
"factor(Dcode)63719",30415.0506444277
"factor(Dcode)63750",25654.3169234314
"factor(Dcode)63768",27033.8941116191
"factor(Dcode)63776",27646.9924623293
"factor(Dcode)63784",30573.8274792983
"factor(Dcode)63792",30382.073188459
"factor(Dcode)63800",29789.3269520159
"factor(Dcode)63818",119322.921153938
"factor(Dcode)63826",26983.2211027587
"factor(Dcode)63834",28913.5468881406
"factor(Dcode)63842",27134.7423722198
"factor(Dcode)63859",35667.5572381387
"factor(Dcode)63875",36744.8662173794
"factor(Dcode)63883",26124.6382161233
"factor(Dcode)63891",29136.2269251636
"factor(Dcode)63917",27304.152798972
"factor(Dcode)63925",29083.122382067
"factor(Dcode)63933",26670.7048735714
"factor(Dcode)63941",25765.5695424486
"factor(Dcode)63958",31883.6151878948
"factor(Dcode)63966",29813.3108877738
"factor(Dcode)63974",26855.7905370523
"factor(Dcode)63982",29843.2446050662
"factor(Dcode)63990",25534.1240844383
"factor(Dcode)64014",27533.2910622474
"factor(Dcode)64022",28593.2722752969
"factor(Dcode)64030",25609.705973035
"factor(Dcode)64048",27884.6143811705
"factor(Dcode)64055",27420.4105631546
"factor(Dcode)64063",27011.0934381605
"factor(Dcode)64071",34477.4440461932
"factor(Dcode)64089",41636.0351346671
"factor(Dcode)64105",24750.1364075971
"factor(Dcode)64113",25979.9741078483
"factor(Dcode)64139",31142.7422715777
"factor(Dcode)64162",152692.279999929
"factor(Dcode)64170",23905.1301075589
"factor(Dcode)64188",27229.7145619309
"factor(Dcode)64196",25729.392556571
"factor(Dcode)64204",40980.9638831096
"factor(Dcode)64212",28576.7977003702
"factor(Dcode)64246",30294.6826037868
"factor(Dcode)64261",24169.1362159247
"factor(Dcode)64279",29593.3296829044
"factor(Dcode)64287",30366.0488166232
"factor(Dcode)64295",32843.6409286228
"factor(Dcode)64303",27584.252799619
"factor(Dcode)64311",31610.0591543372
"factor(Dcode)64329",26646.6158193699
"factor(Dcode)64337",28144.5317360724
"factor(Dcode)64345",26626.5084251252
"factor(Dcode)64352",35576.6339630581
"factor(Dcode)64378",27293.7268593347
"factor(Dcode)64394",28281.4006867488
"factor(Dcode)64436",30403.973694419
"factor(Dcode)64444",32986.3914086387
"factor(Dcode)64451",25584.1799406522
"factor(Dcode)64469",26849.1962397217
"factor(Dcode)64477",26637.9915316784
"factor(Dcode)64485",27613.5160872752
"factor(Dcode)64501",27039.9125024329
"factor(Dcode)64519",31151.704828405
"factor(Dcode)64527",27316.2630240966
"factor(Dcode)64535",27288.9510892634
"factor(Dcode)64550",26565.8305830348
"factor(Dcode)64568",27695.8465920006
"factor(Dcode)64576",25359.063617523
"factor(Dcode)64584",322736.562278874
"factor(Dcode)64592",29005.8744725303
"factor(Dcode)64600",25800.5875937143
"factor(Dcode)64626",28998.5256826559
"factor(Dcode)64634",30760.5045628138
"factor(Dcode)64642",26118.5435214185
"factor(Dcode)64659",25964.8805147953
"factor(Dcode)64667",25368.1224700763
"factor(Dcode)64683",26405.8445359712
"factor(Dcode)64691",32004.0131178247
"factor(Dcode)64709",38243.4447191467
"factor(Dcode)64717",24959.3710121256
"factor(Dcode)64725",28802.0804800641
"factor(Dcode)64733",37258.6767595056
"factor(Dcode)64758",26366.0523885285
"factor(Dcode)64766",25227.9742460772
"factor(Dcode)64774",28114.1504312444
"factor(Dcode)64790",27089.4321292806
"factor(Dcode)64808",27524.7599098813
"factor(Dcode)64816",27099.0225765799
"factor(Dcode)64832",26462.0754629461
"factor(Dcode)64840",31306.3639746047
"factor(Dcode)64857",32633.6394139363
"factor(Dcode)64865",25614.8074912569
"factor(Dcode)64873",27465.4901752941
"factor(Dcode)64881",31797.8604937867
"factor(Dcode)64907",31497.5027913939
"factor(Dcode)64931",26413.8828135863
"factor(Dcode)64964",24025.0218020639
"factor(Dcode)64980",25922.8330553555
"factor(Dcode)64998",29160.7949840941
"factor(Dcode)65029",24660.2027053104
"factor(Dcode)65037",25877.8158521381
"factor(Dcode)65045",26875.8488934528
"factor(Dcode)65052",24749.8704363203
"factor(Dcode)65060",27802.643006973
"factor(Dcode)65078",24331.260993877
"factor(Dcode)65094",31317.8269975768
"factor(Dcode)65102",22754.1280655824
"factor(Dcode)65110",25436.8617500768
"factor(Dcode)65128",36331.4166260741
"factor(Dcode)65136",29526.451081416
"factor(Dcode)65151",28636.8488040416
"factor(Dcode)65169",25903.9440063997
"factor(Dcode)65177",27469.5249916614
"factor(Dcode)65185",30680.4304439821
"factor(Dcode)65193",26388.1433108678
"factor(Dcode)65201",30357.0411772476
"factor(Dcode)65243",27466.8422631086
"factor(Dcode)65276",36228.9687477683
"factor(Dcode)65300",73052.8282210414
"factor(Dcode)65318",26712.7879043516
"factor(Dcode)65334",25378.6749496186
"factor(Dcode)65342",40413.9029741333
"factor(Dcode)65359",31596.3466500902
"factor(Dcode)65367",24920.2388595865
"factor(Dcode)65375",49552.5741913558
"factor(Dcode)65391",25005.6069016185
"factor(Dcode)65409",45941.1664249226
"factor(Dcode)65417",25421.0748470881
"factor(Dcode)65425",35868.7790697716
"factor(Dcode)65433",35253.1844481102
"factor(Dcode)65458",26180.5254468174
"factor(Dcode)65466",36062.9503792213
"factor(Dcode)65474",149734.674796763
"factor(Dcode)65482",43974.4646364597
"factor(Dcode)65516",55344.2784611385
"factor(Dcode)65532",32011.279795177
"factor(Dcode)65540",35968.2762388564
"factor(Dcode)65557",40985.9753790747
"factor(Dcode)65565",29282.0589559276
"factor(Dcode)65573",40610.9658572243
"factor(Dcode)65581",44657.5727425115
"factor(Dcode)65599",56064.0524381553
"factor(Dcode)65607",43352.0862183566
"factor(Dcode)65615",27650.652986222
"factor(Dcode)65623",29220.6763176418
"factor(Dcode)65631",26864.2484028746
"factor(Dcode)65649",27219.369482103
"factor(Dcode)65680",32624.4971546139
"factor(Dcode)65698",27175.5335439482
"factor(Dcode)65722",28427.0121990628
"factor(Dcode)65730",33207.0071652241
"factor(Dcode)65748",28256.963051449
"factor(Dcode)65755",27334.8065445757
"factor(Dcode)65763",26032.5153046847
"factor(Dcode)65771",28629.6327194873
"factor(Dcode)65789",29702.1027306769
"factor(Dcode)65813",30229.2876077705
"factor(Dcode)65821",28721.5248262085
"factor(Dcode)65839",34494.7279574972
"factor(Dcode)65862",26952.9202135411
"factor(Dcode)65870",28208.0699873459
"factor(Dcode)65896",47798.4220850177
"factor(Dcode)65961",26316.4078292858
"factor(Dcode)65979",43227.9329665686
"factor(Dcode)65987",67243.8175304815
"factor(Dcode)65995",31504.5477738655
"factor(Dcode)66027",32524.4118198398
"factor(Dcode)66035",26904.4781508683
"factor(Dcode)66050",28268.4990110607
"factor(Dcode)66068",30615.9833053522
"factor(Dcode)66076",28474.2522197749
"factor(Dcode)66084",28212.7759884547
"factor(Dcode)66092",28902.488025645
"factor(Dcode)66134",44442.2287899675
"factor(Dcode)66142",27465.8299917949
"factor(Dcode)66159",29319.4110543673
"factor(Dcode)66167",30926.4134619484
"factor(Dcode)66175",29436.151095606
"factor(Dcode)66183",40868.3376761466
"factor(Dcode)66191",25194.6709094125
"factor(Dcode)66225",24620.4157830626
"factor(Dcode)66233",24576.2219381786
"factor(Dcode)66241",46599.2908904458
"factor(Dcode)66258",49821.8359146981
"factor(Dcode)66266",30991.3544280337
"factor(Dcode)66282",61283.2228312861
"factor(Dcode)66290",56750.9293215684
"factor(Dcode)66316",27600.8580936364
"factor(Dcode)66324",25112.6266618463
"factor(Dcode)66332",33779.1067783006
"factor(Dcode)66340",29308.7829179797
"factor(Dcode)66357",31296.2024727818
"factor(Dcode)66373",26457.2188358703
"factor(Dcode)66381",26731.6159657545
"factor(Dcode)66399",43701.2513129347
"factor(Dcode)66407",28997.6537691201
"factor(Dcode)66415",258962.635854204
"factor(Dcode)66423",28678.6726889345
"factor(Dcode)66431",31360.3440543977
"factor(Dcode)66449",26427.3844194811
"factor(Dcode)66456",24950.7826934468
"factor(Dcode)66464",26796.8951755083
"factor(Dcode)66472",26478.5303393851
"factor(Dcode)66480",25784.3751657325
"factor(Dcode)66498",23069.7224044644
"factor(Dcode)66506",24944.7462214281
"factor(Dcode)66514",29026.1837476513
"factor(Dcode)66522",28178.4185406266
"factor(Dcode)66530",23357.7242398961
"factor(Dcode)66548",34525.7770426864
"factor(Dcode)66555",47022.236377883
"factor(Dcode)66563",25505.4918452658
"factor(Dcode)66589",27860.9606335707
"factor(Dcode)66597",36376.1856302819
"factor(Dcode)66613",25160.5195892722
"factor(Dcode)66621",27667.3673917725
"factor(Dcode)66647",27103.4619800487
"factor(Dcode)66670",29839.6749951653
"factor(Dcode)66696",26861.9383086773
"factor(Dcode)66746",25999.6841264721
"factor(Dcode)66761",27326.4570478532
"factor(Dcode)66779",31477.3133543256
"factor(Dcode)66787",31654.0230039453
"factor(Dcode)66795",33705.8957202732
"factor(Dcode)66803",24332.210401241
"factor(Dcode)66829",24527.6016738899
"factor(Dcode)66837",27285.8225360263
"factor(Dcode)66845",27295.5401182295
"factor(Dcode)66852",66133.3365933945
"factor(Dcode)66886",32868.5542483148
"factor(Dcode)66894",28878.5479944416
"factor(Dcode)66910",23931.676500048
"factor(Dcode)66928",27169.0294896275
"factor(Dcode)66944",37440.5728906747
"factor(Dcode)66951",29715.7334632473
"factor(Dcode)66969",38856.504383713
"factor(Dcode)66977",25914.9129267949
"factor(Dcode)66985",27710.2802381661
"factor(Dcode)66993",24842.4474400701
"factor(Dcode)67033",26331.5238854168
"factor(Dcode)67041",131278.33158475
"factor(Dcode)67058",25928.1011315592
"factor(Dcode)67082",25546.577325271
"factor(Dcode)67090",25932.4458107676
"factor(Dcode)67116",24851.6445550217
"factor(Dcode)67124",27995.1011719747
"factor(Dcode)67157",33959.7009942278
"factor(Dcode)67173",26377.4907757982
"factor(Dcode)67181",26826.0129443046
"factor(Dcode)67199",29076.9304541496
"factor(Dcode)67207",29340.7098929644
"factor(Dcode)67215",27523.2851356107
"factor(Dcode)67231",24814.6522154448
"factor(Dcode)67249",25401.4455415879
"factor(Dcode)67280",26549.888783801
"factor(Dcode)67314",28132.9344988697
"factor(Dcode)67322",27507.3853456745
"factor(Dcode)67330",26112.7679016627
"factor(Dcode)67348",25577.919101699
"factor(Dcode)67355",28875.7251589218
"factor(Dcode)67413",29896.9798432525
"factor(Dcode)67421",28554.1406291542
"factor(Dcode)67439",31932.6726770455
"factor(Dcode)67447",31558.7484796003
"factor(Dcode)67454",40121.0677897406
"factor(Dcode)67462",36183.1150978973
"factor(Dcode)67470",25172.5641806909
"factor(Dcode)67488",36171.2245526406
"factor(Dcode)67504",24707.433923039
"factor(Dcode)67520",83423.7874890757
"factor(Dcode)67538",27883.2177038573
"factor(Dcode)67553",24948.3987830156
"factor(Dcode)67561",24717.0399969422
"factor(Dcode)67579",58567.5463108077
"factor(Dcode)67587",25535.2617493291
"factor(Dcode)67595",24186.6785449951
"factor(Dcode)67611",26356.761240384
"factor(Dcode)67637",25893.6752610672
"factor(Dcode)67645",23486.8139526659
"factor(Dcode)67652",27244.958097577
"factor(Dcode)67678",24862.6828432869
"factor(Dcode)67686",26289.1699739898
"factor(Dcode)67694",23500.0128888632
"factor(Dcode)67702",22452.1826672418
"factor(Dcode)67710",28122.1180617172
"factor(Dcode)67736",33402.5139838096
"factor(Dcode)67777",28169.4503957021
"factor(Dcode)67785",24323.7726560344
